idaTvd trait nDau nHerd estimate rel type label pubCode base idaItb birthdate breed sex
CH120109208465 cfa 21 1 79.37 0.77 P CH Y LM18 LMCHEM120109208465 2014 LM M
CH120071583461 cfa 22 5 93.37 0.78 P CH Y LM18 LMCHEM120071583461 2008 LM M
CH120069628679 cfa 22 1 93.22 0.77 P CH Y LM18 LMCHEM120069628679 2008 LM M
CH120066597954 cfa 21 1 85.26 0.77 P CH Y LM18 LMCHEM120066597954 2007 LM M
CH120098006004 cfa 24 4 81.02 0.79 P CH Y LM18 LMCHEM120098006004 2012 LM M
CH900000281657 cfa 83 71 100.75 0.93 P CH Y LM18 LMCHEM900000281657 1988 LM M
CH900000281633 cfa 4678 2110 110.66 0.99 P CH Y LM18 LMCHEM900000281633 1988 LM M
CZ303050019912 cfa 46 37 106.41 0.88 P CH Y LM18 LMCZEM030305001991 1990 LM M
FR087910026040 cfa 44 39 87.93 0.95 P CH Y LM18 LMFRAM008791002604 1991 LM M
FR087910505057 cfa 21 8 101.01 0.89 P CH Y LM18 LMFRAM900090553350 1991 LM M
FR016921112091 cfa 58 34 100.19 0.98 P CH Y LM18 LMFRAM001692111209 1992 LM M
FR087920047592 cfa 553 423 106.18 0.99 P CH Y LM18 LMFRAM008792004759 1992 LM M
FR019920142670 cfa 35 17 89.75 0.88 P CH Y LM18 LMFRAM001992014267 1992 LM M
FR019930006573 cfa 251 197 105.07 0.98 P CH Y LM18 LMFRAM001993000657 1993 LM M
FR036930002060 cfa 52 21 95.03 0.94 P CH Y LM18 LMFRAM003693000206 1993 LM M
IT000009305239 cfa 281 155 104.58 0.97 P CH Y LM18 LMITAM000000930523 1993 LM M
FR087930075967 cfa 492 361 106.98 0.99 P CH Y LM18 LMFRAM900090514410 1993 LM M
FR019930139899 cfa 585 444 103.05 0.99 P CH Y LM18 LMFRAM900090505630 1993 LM M
CH900000726622 cfa 2032 1191 106.01 0.99 P CH Y LM18 LMCHEM900000726622 1994 LM M
CH900000737253 cfa 70 56 108.15 0.93 P CH Y LM18 LMCHEM900000737253 1994 LM M
FR023940120693 cfa 1153 671 101.59 0.99 P CH Y LM18 LMFRAM002394012069 1994 LM M
FR019940050351 cfa 51 30 100.29 0.88 P CH Y LM18 LMFRAM001994005035 1994 LM M
FR019940054892 cfa 50 36 98.62 0.88 P CH Y LM18 LMFRAM900090507380 1994 LM M
FR009940540662 cfa 64 35 103.33 0.90 P CH Y LM18 LMFRAM000994054066 1994 LM M
CH900000985685 cfa 362 232 99.92 0.98 P CH Y LM18 LMCHEM900000985685 1994 LM M
CH900000988501 cfa 49 1 103.87 0.84 P CH Y LM18 LMFRAM900000988501 1995 LM M
IT041009507605 cfa 266 190 101.02 0.97 P CH Y LM18 LMITAM004100950760 1995 LM M
FR019950108196 cfa 23 15 93.81 0.93 P CH Y LM18 LMFRAM900090507520 1995 LM M
FR018950930318 cfa 83 35 95.18 0.97 P CH Y LM18 LMFRAM900090536900 1995 LM M
CZ007517001815 cfa 29 27 105.96 0.84 P CH Y LM18 LMCZEM900090486940 1995 LM M
CH900000975105 cfa 27 1 97.66 0.80 P CH Y LM18 LMCHEM900000975105 1995 LM M
US000012164035 cfa 307 193 109.98 0.98 P CH Y LM18 LMUSAM900090504610 1995 LM M
CH900001054267 cfa 7878 2786 104.73 0.99 P CH Y LM18 LMCHEM900001054267 1995 LM M
CH900001054243 cfa 20 3 100.79 0.91 P CH Y LM18 LMCHEM900001054243 1995 LM M
CH900000979806 cfa 2127 915 107.66 0.99 P CH Y LM18 LMCHEM900000979806 1995 LM M
CH900000979844 cfa 22 2 100.73 0.75 P CH Y LM18 LMCHEM900000979844 1995 LM M
FR087950101820 cfa 34 16 88.22 0.95 P CH Y LM18 LMFRAM900090263900 1995 LM M
CH900000995431 cfa 9422 3347 105.80 0.99 P CH Y LM18 LMCHEM900000995431 1995 LM M
CH900001017941 cfa 29297 6579 100.32 0.99 P CH Y LM18 LMCHEM900001017941 1995 LM M
