idaTvd trait nDau nHerd estimate rel type label pubCode base idaItb birthdate breed sex
CH120109208465 cwa 21 1 124.42 0.75 P CH Y LM18 LMCHEM120109208465 2014 LM M
CH120071583461 cwa 22 5 90.81 0.75 P CH Y LM18 LMCHEM120071583461 2008 LM M
CH120069628679 cwa 22 1 129.88 0.75 P CH Y LM18 LMCHEM120069628679 2008 LM M
CH120066597954 cwa 21 1 104.44 0.75 P CH Y LM18 LMCHEM120066597954 2007 LM M
CH120098006004 cwa 24 4 113.77 0.76 P CH Y LM18 LMCHEM120098006004 2012 LM M
CH900000281657 cwa 83 71 103.71 0.92 P CH Y LM18 LMCHEM900000281657 1988 LM M
CH900000281633 cwa 4659 2103 102.16 0.99 P CH Y LM18 LMCHEM900000281633 1988 LM M
CZ303050019912 cwa 46 37 105.86 0.85 P CH Y LM18 LMCZEM030305001991 1990 LM M
FR087910026040 cwa 44 39 96.80 0.95 P CH Y LM18 LMFRAM008791002604 1991 LM M
FR087910505057 cwa 21 8 116.89 0.89 P CH Y LM18 LMFRAM900090553350 1991 LM M
FR016921112091 cwa 58 34 99.25 0.98 P CH Y LM18 LMFRAM001692111209 1992 LM M
FR087920047592 cwa 553 423 98.32 0.99 P CH Y LM18 LMFRAM008792004759 1992 LM M
FR019920142670 cwa 35 17 97.16 0.86 P CH Y LM18 LMFRAM001992014267 1992 LM M
FR019930006573 cwa 248 194 107.67 0.97 P CH Y LM18 LMFRAM001993000657 1993 LM M
FR036930002060 cwa 52 21 115.64 0.93 P CH Y LM18 LMFRAM003693000206 1993 LM M
IT000009305239 cwa 281 155 115.46 0.97 P CH Y LM18 LMITAM000000930523 1993 LM M
FR087930075967 cwa 490 360 107.80 0.98 P CH Y LM18 LMFRAM900090514410 1993 LM M
FR019930139899 cwa 585 444 102.33 0.99 P CH Y LM18 LMFRAM900090505630 1993 LM M
CH900000726622 cwa 2025 1188 105.18 0.99 P CH Y LM18 LMCHEM900000726622 1994 LM M
CH900000737253 cwa 70 56 86.37 0.92 P CH Y LM18 LMCHEM900000737253 1994 LM M
FR023940120693 cwa 1148 668 96.63 0.99 P CH Y LM18 LMFRAM002394012069 1994 LM M
FR019940050351 cwa 51 30 109.67 0.86 P CH Y LM18 LMFRAM001994005035 1994 LM M
FR019940054892 cwa 50 36 96.74 0.85 P CH Y LM18 LMFRAM900090507380 1994 LM M
FR009940540662 cwa 64 35 107.51 0.88 P CH Y LM18 LMFRAM000994054066 1994 LM M
CH900000985685 cwa 362 232 102.00 0.98 P CH Y LM18 LMCHEM900000985685 1994 LM M
