idaTvd trait nDau nHerd estimate rel type label pubCode base idaItb birthdate breed sex
CH120109208465 cca 21 1 112.52 0.85 P CH Y LM18 LMCHEM120109208465 2014 LM M
CH120071583461 cca 22 5 101.94 0.85 P CH Y LM18 LMCHEM120071583461 2008 LM M
CH120069628679 cca 22 1 104.62 0.85 P CH Y LM18 LMCHEM120069628679 2008 LM M
CH120066597954 cca 21 1 101.72 0.85 P CH Y LM18 LMCHEM120066597954 2007 LM M
CH120098006004 cca 24 4 108.90 0.86 P CH Y LM18 LMCHEM120098006004 2012 LM M
CH900000281657 cca 83 71 115.05 0.95 P CH Y LM18 LMCHEM900000281657 1988 LM M
CH900000281633 cca 4678 2110 101.67 0.99 P CH Y LM18 LMCHEM900000281633 1988 LM M
CZ303050019912 cca 46 37 102.96 0.92 P CH Y LM18 LMCZEM030305001991 1990 LM M
FR087910026040 cca 44 39 105.98 0.96 P CH Y LM18 LMFRAM008791002604 1991 LM M
FR087910505057 cca 21 8 106.83 0.92 P CH Y LM18 LMFRAM900090553350 1991 LM M
FR016921112091 cca 58 34 108.23 0.98 P CH Y LM18 LMFRAM001692111209 1992 LM M
FR087920047592 cca 553 423 114.16 0.99 P CH Y LM18 LMFRAM008792004759 1992 LM M
FR019920142670 cca 35 17 106.98 0.91 P CH Y LM18 LMFRAM001992014267 1992 LM M
FR019930006573 cca 251 197 111.30 0.98 P CH Y LM18 LMFRAM001993000657 1993 LM M
FR036930002060 cca 52 21 119.32 0.95 P CH Y LM18 LMFRAM003693000206 1993 LM M
IT000009305239 cca 281 155 116.16 0.98 P CH Y LM18 LMITAM000000930523 1993 LM M
FR087930075967 cca 492 361 113.42 0.99 P CH Y LM18 LMFRAM900090514410 1993 LM M
FR019930139899 cca 585 444 109.97 0.99 P CH Y LM18 LMFRAM900090505630 1993 LM M
CH900000726622 cca 2032 1191 106.86 0.99 P CH Y LM18 LMCHEM900000726622 1994 LM M
CH900000737253 cca 70 56 101.10 0.95 P CH Y LM18 LMCHEM900000737253 1994 LM M
FR023940120693 cca 1153 671 116.10 0.99 P CH Y LM18 LMFRAM002394012069 1994 LM M
FR019940050351 cca 51 30 102.66 0.92 P CH Y LM18 LMFRAM001994005035 1994 LM M
FR019940054892 cca 50 36 121.60 0.92 P CH Y LM18 LMFRAM900090507380 1994 LM M
FR009940540662 cca 64 35 118.61 0.94 P CH Y LM18 LMFRAM000994054066 1994 LM M
CH900000985685 cca 362 232 111.73 0.99 P CH Y LM18 LMCHEM900000985685 1994 LM M
CH900000988501 cca 49 1 116.15 0.90 P CH Y LM18 LMFRAM900000988501 1995 LM M
IT041009507605 cca 266 190 123.19 0.98 P CH Y LM18 LMITAM004100950760 1995 LM M
FR019950108196 cca 23 15 119.88 0.94 P CH Y LM18 LMFRAM900090507520 1995 LM M
FR018950930318 cca 83 35 112.29 0.98 P CH Y LM18 LMFRAM900090536900 1995 LM M
CZ007517001815 cca 29 27 102.98 0.89 P CH Y LM18 LMCZEM900090486940 1995 LM M
CH900000975105 cca 27 1 98.69 0.86 P CH Y LM18 LMCHEM900000975105 1995 LM M
US000012164035 cca 307 193 89.33 0.99 P CH Y LM18 LMUSAM900090504610 1995 LM M
CH900001054267 cca 7878 2786 120.38 0.99 P CH Y LM18 LMCHEM900001054267 1995 LM M
CH900001054243 cca 20 3 106.79 0.93 P CH Y LM18 LMCHEM900001054243 1995 LM M
CH900000979806 cca 2127 915 114.40 0.99 P CH Y LM18 LMCHEM900000979806 1995 LM M
CH900000979844 cca 22 2 105.30 0.82 P CH Y LM18 LMCHEM900000979844 1995 LM M
FR087950101820 cca 34 16 107.29 0.96 P CH Y LM18 LMFRAM900090263900 1995 LM M
CH900000995431 cca 9422 3347 115.22 0.99 P CH Y LM18 LMCHEM900000995431 1995 LM M
CH900001017941 cca 29295 6579 118.38 0.99 P CH Y LM18 LMCHEM900001017941 1995 LM M
FR023960322138 cca 29 14 119.78 0.97 P CH Y LM18 LMFRAM900090505690 1996 LM M
CH900001133238 cca 28 5 103.35 0.86 P CH Y LM18 LMCHEM900001133238 1996 LM M
FR022960041841 cca 206 107 127.64 0.98 P CH Y LM18 LMFRAM900090750380 1996 LM M
CH900001109066 cca 56 3 109.06 0.91 P CH Y LM18 LMCHEM900001109066 1996 LM M
CZ093517027054 cca 161 121 104.10 0.97 P CH Y LM18 LMCZEM900090518510 1996 LM M
FR012971665310 cca 150 122 128.63 0.97 P CH Y LM18 LMFRAM900090553450 1996 LM M
CH900001057022 cca 2361 1107 98.19 0.99 P CH Y LM18 LMCHEM900001057022 1997 LM M
CH900001056698 cca 91 2 106.19 0.94 P CH Y LM18 LMFRAM900001056698 1997 LM M
CH900001057015 cca 45 39 98.80 0.92 P CH Y LM18 LMCHEM900001057015 1997 LM M
CH900001056704 cca 1958 919 112.24 0.99 P CH Y LM18 LMCHEM900001056704 1997 LM M
CH900001302474 cca 46 6 107.60 0.92 P CH Y LM18 LMCHEM900001302474 1997 LM M
FR022970041145 cca 29 14 112.22 0.93 P CH Y LM18 LMFRAM900090693760 1997 LM M
